city,year,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
Norwell,2007,117,29,28869756.0,776184.0,,103918931,740903.0,13,14355215.0,938478.0,7,8217676.0,879205.0,6137539.0,959646.5,104,89563716.0,722204.5,22,20652080.0,686217.5,68911636.0,722204.5,71.53534654051111,28.464653459488886,24.137931034482758,75.86206896551724,11.11111111111111,88.88888888888889,23.058534105485307,57.24523108849293,53.84615384615385,21.153846153846153
Norwell,2008,105,27,30741951.0,825884.0,,99343234,755449.0,14,17012662.0,608364.5,7,11542214.0,607674.0,5470448.0,609055.0,91,82330572.0,759592.0,20,19199737.0,868697.5,63130835.0,745782.0,62.4545169563246,37.5454830436754,25.925925925925924,74.07407407407408,13.333333333333334,86.66666666666667,23.32030075049157,67.84484403440214,50.0,21.978021978021978
Norwell,2009,89,28,20709233.0,636330.0,,65191812,676167.0,13,5799183.0,449841.0,6,2671383.0,383067.5,3127800.0,504665.0,76,59392629.0,721471.0,22,18037850.0,892653.0,41354779.0,716934.0,87.10052178175792,12.899478218242075,21.428571428571427,78.57142857142857,14.606741573033707,85.39325842696628,30.370519547131007,46.06481637154751,46.15384615384615,28.947368421052634
Norwell,2010,106,29,21036389.0,575233.0,,83072150,675889.0,15,11034641.0,647465.0,9,5517512.0,555647.0,5517129.0,956877.5,91,72037509.0,678370.0,20,15518877.0,577182.0,56518632.0,713104.0,73.77158218551672,26.228417814483272,31.03448275862069,68.96551724137932,14.150943396226415,85.84905660377359,21.54277294624388,50.00173544386265,60.0,21.978021978021978
Norwell,2011,93,26,13335296.0,412966.5,,72125935,711530.0,17,13659579.0,617487.0,10,3740923.0,375436.0,9918656.0,1303355.0,76,58466356.0,735073.0,16,9594373.0,481329.0,48871983.0,753384.5,71.94720687114857,28.052793128851434,38.46153846153847,61.53846153846154,18.27956989247312,81.72043010752688,16.41007522343277,27.386810384126775,58.82352941176471,21.052631578947366
Norwell,2012,125,21,12148894.0,411971.0,,88629413,652287.0,19,9582824.0,370774.0,9,4554893.0,281513.0,5027931.0,439436.0,106,79046589.0,685245.0,12,7594001.0,600791.0,71452588.0,705157.0,62.50775585003869,37.49224414996131,42.857142857142854,57.14285714285714,15.2,84.8,9.606993921015365,47.53184447507332,47.368421052631575,11.320754716981133
Norwell,2013,148,32,21991830.0,675556.5,,116667984,736464.5,23,16465391.0,579993.0,10,5745641.0,557452.0,10719750.0,579993.0,125,100202593.0,742370.0,22,16246189.0,725498.0,83956404.0,742370.0,73.87374765992644,26.126252340073563,31.25,68.75,15.54054054054054,84.45945945945947,16.21334190423595,34.89526000323952,43.47826086956522,17.599999999999998
Norwell,2014,134,22,14557793.0,597732.0,,91897384,624545.0,17,9616037.0,483941.0,7,3582472.0,346606.0,6033565.0,503560.0,117,82281347.0,632393.0,15,10975321.0,621275.0,71306026.0,635074.5,75.39137972356113,24.60862027643888,31.818181818181817,68.18181818181817,12.686567164179104,87.31343283582089,13.338771665952432,37.255181110472016,41.17647058823529,12.82051282051282
Norwell,2015,165,22,17039848.0,586605.0,,122987073,684106.0,22,14183911.0,599184.0,5,2016487.0,338856.0,12167424.0,639352.0,143,108803162.0,690500.0,17,15023361.0,591400.0,93779801.0,703301.0,88.16605054223488,11.833949457765117,22.727272727272727,77.27272727272727,13.333333333333334,86.66666666666667,13.807834923032845,14.216720620990925,22.727272727272727,11.888111888111888
Norwell,2016,154,40,32420436.0,726316.5,,120151196,735044.5,20,15433291.0,679558.0,6,4815562.0,657737.5,10617729.0,679558.0,134,104717905.0,735668.0,34,27604874.0,726316.5,77113031.0,735668.0,85.14652301406433,14.853476985935663,15.0,85.0,12.987012987012985,87.01298701298701,26.361178635114978,31.20243116001636,30.0,25.37313432835821
